Time [s],X [g],Y [g],Z [g]
1846.9738633,-0.0001167208,0.02972313,1.049315
1846.9750685,0.0005211681,0.02706625,1.055384
1846.9762738,0.004356846,0.02914648,1.058267
1846.9774791,0.007278711,0.0280053,1.060642
1846.9786843,0.005223274,0.02286324,1.060721
1846.9798896,0.01205367,0.01947859,1.06403
1846.9810948,0.01233208,0.01453058,1.066906
1846.9823001,0.00716725,0.0106368,1.066163
1846.9835053,0.008797377,0.00931572,1.061597
1846.9847106,0.001685545,0.005797172,1.06121
1846.9859158,0.01376596,-0.002614735,1.053689
1846.9871211,0.01206021,-0.005977286,1.055256
1846.9883263,0.01551923,-0.01705717,1.049047
1846.9895316,0.014909,-0.02820115,1.047433
1846.9907368,0.01363346,-0.03215441,1.039486
1846.9919421,0.02495268,-0.03682054,1.035329
1846.9931473,0.01976156,-0.04011098,1.03292
1846.9943526,0.0116598,-0.04152566,1.026944
1846.9955579,0.005734578,-0.03546033,1.02801
1846.9967631,0.004579961,-0.03356885,1.029727
1846.9979684,-0.003186896,-0.02591052,1.024649
1846.9991736,-0.004665643,-0.0186744,1.015404
1847.0003789,-0.01188244,-0.003323384,1.017723
1847.0015841,-0.02027224,-0.004987298,1.009767
1847.0027894,-0.01614119,0.006026037,1.006657
1847.0039946,-0.01408985,0.01081926,1.001226
1847.0051724,-0.01473993,0.01765993,0.9984196
1847.0063776,0.007895336,0.03451447,0.9796351
1847.0075829,0.03568022,0.04562701,0.949805
1847.0087881,0.05273521,0.05201805,0.9503095
1847.0099934,0.04004909,0.05280853,0.9726222
1847.0111986,0.01333219,0.03358281,1.000853
1847.0124038,-0.01515754,0.0174826,1.011635
1847.0136091,-0.0384247,0.002557576,1.019584
1847.0148143,-0.05637908,-0.0004750453,1.020571
1847.0160196,-0.05593133,0.001641996,1.016596
1847.0172248,-0.04905386,0.006724441,1.004658
1847.01843,-0.0320852,0.01540785,1.001971
1847.0196353,-0.02482608,0.02485296,1.005049
1847.0208405,-0.01378153,0.0332933,1.009895
1847.0220458,-0.003480852,0.0407367,1.015094
1847.023251,0.01199618,0.04797361,1.017288
1847.0244563,0.02073357,0.0460807,1.022181
1847.0256615,0.02752297,0.05121545,1.026167
1847.0268667,0.03425188,0.05566146,1.03026
1847.028072,0.03509463,0.04936142,1.03389
1847.0292772,0.03996144,0.04739619,1.037215
1847.0304825,0.04029292,0.04508556,1.043033
1847.0316877,0.04098256,0.04296124,1.042179
1847.0328929,0.04149662,0.04306832,1.04559
1847.0340982,0.04013917,0.04445167,1.050248
1847.0353034,0.04296209,0.04396144,1.048091
