Time [s],X [g],Y [g],Z [g]
186.5424898,0.0360404,0.02240313,1.045483
186.5436869,0.04051739,0.01592534,1.044049
186.5448841,0.0343479,0.02152569,1.046027
186.5460812,0.03374963,0.02114746,1.038725
186.5472784,0.0398866,0.01552348,1.03333
186.5484755,0.03884332,0.01601801,1.026509
186.5496727,0.03957501,0.01746769,1.020603
186.5508698,0.03757472,0.01805842,1.01966
186.552067,0.03845377,0.0201185,1.011297
186.5532641,0.03866189,0.01855612,1.009372
186.5544613,0.03590886,0.02037293,1.004026
186.5556584,0.03499279,0.01875602,1.000663
186.5568556,0.0375426,0.0189778,0.9966938
186.5580527,0.03446274,0.01955405,0.9962644
186.5592499,0.03653959,0.01568923,0.9962963
186.560447,0.03845427,0.0183608,0.9966853
186.5616442,0.04192326,0.02019016,0.996079
186.5628413,0.03693116,0.01698373,0.9943073
186.5640385,0.03365379,0.01467447,0.9910128
186.5652356,0.03620669,0.02157621,0.9947169
186.5664328,0.04296944,0.01857147,0.9999936
186.5676299,0.03825656,0.02324771,0.9990287
186.5688271,0.04111261,0.02310184,0.9989654
186.5700242,0.03999638,0.0236909,1.007767
186.5712214,0.03328941,0.02180385,1.007961
186.5724185,0.03419576,0.02786502,1.015138
186.5736157,0.04009748,0.02488419,1.012134
186.5748128,0.03784704,0.01984346,1.013755
186.57601,0.03642452,0.02237699,1.010806
186.5772071,0.03759264,0.01754147,1.018691
186.5784043,0.03662722,0.01873419,1.024547
186.5796014,0.0399428,0.02489033,1.022878
186.5807986,0.04219885,0.02166366,1.022404
186.5819957,0.03624942,0.02014084,1.018668
186.5831929,0.03651682,0.0186251,1.018693
186.58439,0.0350921,0.02561645,1.020534
186.5855872,0.03001141,0.01739165,1.018869
186.5867843,0.03545665,0.02084795,1.0216
186.5879815,0.03474526,0.01606322,1.023181
186.5891786,0.03531426,0.0157788,1.019268
186.5903758,0.03561036,0.01539549,1.021222
186.5915729,0.03678815,0.01708915,1.017253
186.5927701,0.03878604,0.01808566,1.009862
186.5939672,0.0375737,0.01190752,1.008066
186.5951644,0.03532804,0.01624761,1.009004
186.5963616,0.03550831,0.01688669,1.00801
186.5975587,0.03609075,0.01771908,1.00505
186.5987559,0.03033065,0.01302438,1.006258
186.599953,0.03393073,0.01656364,1.004148
186.6011502,0.04116166,0.02369281,1.002854
186.6023473,0.0309518,0.02104575,1.00217
186.6035445,0.04004934,0.0176026,1.00496
186.6047416,0.033675,0.01696426,1.002192
186.6059388,0.0362235,0.01559375,1.007044
186.6071359,0.03820518,0.01386817,1.005569
186.6083331,0.03576157,0.01421903,1.004153
186.6095302,0.03746366,0.01733372,1.005025
186.6107274,0.03753462,0.01628368,1.006999
186.6119245,0.03342277,0.01082888,1.01209
186.6131217,0.03552449,0.01526196,1.012925
186.6143188,0.03113197,0.01179066,1.008217
186.615516,0.03957729,0.01460372,1.007962
186.6167131,0.03498845,0.0160455,1.009015
186.6179103,0.03312094,0.0134132,1.010579
186.6191074,0.03701571,0.0165882,1.011886
186.6203046,0.03748383,0.01573587,1.012381
